INFO 2024-07-14 12:56:58,379 Watching for file changes with StatReloader
INFO 2024-07-14 12:57:07,685 "POST /api/v1/users/login/ HTTP/1.1" 200 277
ERROR 2024-07-14 12:57:07,717 Internal Server Error: /api/v1/users/update_active/15/
ERROR 2024-07-14 12:57:07,719 "GET /api/v1/users/update_active/15/ HTTP/1.1" 500 37
INFO 2024-07-14 12:57:07,740 "GET /api/v1/users/userlist/ HTTP/1.1" 201 432
INFO 2024-07-14 12:57:07,743 "GET /api/v1/lab/alluserinst/ HTTP/1.1" 200 2698
ERROR 2024-07-14 12:57:07,776 Internal Server Error: /api/v1/users/update_active/15/
ERROR 2024-07-14 12:57:07,777 "GET /api/v1/users/update_active/15/ HTTP/1.1" 500 37
INFO 2024-07-14 12:57:39,454 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:39,480 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:39,494 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:41,475 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:41,503 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:43,481 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:43,512 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:45,474 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:45,501 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:47,475 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:47,495 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 413
INFO 2024-07-14 12:57:49,475 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:49,498 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:51,472 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:51,499 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 2
INFO 2024-07-14 12:57:51,920 "GET /api/v1/lab/alluserinst/ HTTP/1.1" 200 2
